61J,Kempegowda Bus Station,Okalipura,Sujatha Talkies,Gopalapura,6th Block Rajajinagara,Prasanna Theatre,Magadi Road TollGate,Manuvana,Vijayanagara Vijaya Bank,Vijayanagara,Maruthi Mandira,Vijayanagara Bus Station,Income Tax Layout,Chandra Public School,Ganesha Temple Chandra Layout,Chandra Layout Circle,Chandra Layout 1st Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99A,Kempegowda Bus Station,Ananda Rao Circle,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura,Yeshawanthapura Market,Bombay Dyeing Yashwanthapura,Mathikere Post Office,Mathikere,Chowdeshwarinagara JP Park,Mohankumar Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B,Kempegowda Bus Station,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Tata Institute,Yeshawanthapura Circle,Yeshawanthapura Tollgate,Ayyappa Temple Yeshawanthapura,Diwanarapalya,MS Ramaiah College,Mathikere,Chowdeshwarinagara JP Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298M,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Raitarasanthe Yelahanka,Yelahanka Santhe Circle,Kogilu Cross,Kendriya Vihara,Venkatala,Palanahalli Gate,Bagalur Cross,Indian Air Force,Bharathi Nagara,Hunasamaranahalli,SMVIT Cross,Bettahalasuru Cross,Vidyanagara Cross Chikkajala,Chikkajala,Meenakunte Hosuru,ITC Factory,Thabarahalli,Sadahalli Gate,Airport Trumpet,Navayuga Toll,Kannamangala Gate,Bachahalli Gate,Bhuvanahalli Gate,Palya Gate,Dhaba Gate,Chikka Sanne Gate,Sanna Amanikere,Hiranandani Villas,Devanahalli Bypass NH-7,Devanahalli Talluk Office,Devanahalli New Bus Station,Devanahalli Old Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298MP,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Raitarasanthe Yelahanka,Yelahanka Santhe Circle,Kogilu Cross,Kendriya Vihara,Venkatala,Palanahalli Gate,Bagalur Cross,Indian Air Force,Bharathi Nagara,Hunasamaranahalli,SMVIT Cross,Bettahalasuru Cross,Vidyanagara Cross Chikkajala,Kadugenahalli Gate,Chikkajala,Meenakunte Hosuru,ITC Factory,Thabarahalli,Sadahalli Gate,Airport Trumpet,Navayuga Toll,Kannamangala Gate,Bachahalli Gate,Bhuvanahalli Gate,Palya Gate,Dhaba Gate,Chikka Sanne Gate,Sanna Amanikere,Hiranandani Villas,Devanahalli Bypass NH-7,Devanahalli Talluk Office,Devanahalli New Bus Station,Devanahalli Old Bus Stand,Vijayapura Cross,Devanahalli Govt Hospital,Brigade Atmosphere,Kurubarakunte Cross (Narsari),Chatra (Yeliyuru Gate),Chikka Tattamangala Gate,Guduvanahalli Gate,Dargha,Shivagiri Choultry Vijyapura,Govt Hospital Vijayapura,Muncipal Office Vijayapura,Vijayapura Bus Stand Jangamakote,,,,,,,,,,,,,,,,,,,,,,
104,Kempegowda Bus Station,Ananda Rao Circle,Swastik Sheshadripuram College,Central,Malleshwara Circle,Malleshwara 8th Cross (Sampige Road),Malleshwara 11th Cross,Malleshwara 15th Cross,Malleshwara 18th Cross,Bashyam Circle,Sadashivanagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,Akkithimmanahalli,Nanjappa Circle,Elgin Floor Mill,Johnson Market,Shoolay Circle Brigade Road,St Patrick Church,Philomenas Hospital,Austin Town Neelasandra,Neelasandra Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,Akkithimmanahalli,Nanjappa Circle,Elgin Floor Mill,Johnson Market,Shoolay Circle Brigade Road,St Patrick Church,Philomenas Hospital,Austin Town,ASC Centre,Vannarapet,Vivek Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111C,Kempegowda Bus Station,Maharani College,Telephone Exchange AGO/VSD,Sophiya School,High Ground Police Station,Avinash Petrol Bunk,Mount Carmel College,Ganesha Temple Vasanthanagara,Vasanthanagara,Jayamahal,Munireddy Palya J C Nagara,TV Tower,C‌ Q A L,Matadahalli,Rahamathnagara,R T Nagara Post Office,RT Nagara Police Station,HMT Layout R T Nagara,Dinnur Main Road,Sultanpalya Cross Pushpanjali Talkies,P and T Quarters,Kaval Byrasandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114C,Kempegowda Bus Station,Maharani College,Telephone Exchange AGO/VSD,Sophiya School,Mount Carmel College,Ganesha Temple Vasanthanagara,Vasanthanagara,Jayamahal,Munireddy Palya J C Nagara,TV Tower,C‌ Q A L,Matadahalli,Rahamathnagara,R T Nagara Post Office,RT Nagara Police Station,HMT Layout R T Nagara,Dinnur Main Road,Sultanpalya Cross Pushpanjali Talkies,Ashwathkatte Sultanpalya,Sultan palya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329H,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Hosmat Hospital,Military Accounts Office,Commando Hospital,Domlur,Domlur Flyover,Kodihalli,NAL/Manipal Hospital,Murugeshpalya,Konena Agrahara,HAL Main Gate,HAL Admin Gate,Helicopter Division,HAL Kalyana Mantap,Yamalur Cross,Marathahalli,Marathahalli Bridge,Munnekolalu Cross (Spice Garden),Kundalahalli Gate,Thubarahalli,Siddapura,Ramagondanahalli,Varthur Kodi,Varthuru Govt College,Sorahunse Gate,Janthamane,Madhura Nagara Hostel,Madhura Nagara,Valepura Cross,Valepura Gate,Gullakaipura,Muthsandra,Bellikere Cross,Bellikere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Hosmat Hospital,Military Accounts Office,Commando Hospital,Domlur,Domlur Flyover,Kodihalli,NAL/Manipal Hospital,Murugeshpalya,Konena Agrahara,HAL Main Gate,HAL Admin Gate,Helicopter Division,HAL Kalyana Mantap,Yamalur Cross,Marathahalli,Marathahalli Bridge,Munnekolalu Cross (Spice Garden),Kundalahalli Gate,Thubarahalli,Siddapura,Ramagondanahalli,Varthur Kodi,Varthuru Govt College,Varthuru,Varthuru Police Station,Balagere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333C,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Hosmat Hospital,Military Accounts Office,Commando Hospital,Domlur,Domlur Flyover,Kodihalli,NAL/Manipal Hospital,Murugeshpalya,Konena Agrahara,HAL Main Gate,Helicopter Division,Ramesh Nagara Cross,Rameshnagara,Basavanagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS1I,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Hosmat Hospital,Military Accounts Office,Commando Hospital,Domlur,Domlur Flyover,Kodihalli,NAL/Manipal Hospital,Murugeshpalya,Konena Agrahara,HAL Main Gate,HAL Admin Gate,Helicopter Division,HAL Kalyana Mantap,Yamalur Cross,Marathahalli,Marathahalli Bridge,Munnekolalu Cross (Spice Garden),Kundalahalli Gate,Kundalahalli,BEML Layout Gate,AECS Layout Cross,CMRIT College,Kundalahalli Colony,Graphite India,SAP Labs,Kundalahalli Metro Station,I Gate,KTPO,White Field Bus Station (Vydehi Hospital),Sathya Sai Hospital,Big Bazzar ITPL,Pattandur Agrahara Gate,ITPL,GR Tech Park ITPL,BPL,Hope Farm,Kadugodi Bridge,Kadugodi Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS1K,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,St Josephs Indian School/ Malya Hospital,Richmond Circle,St Joseph College,Mayohall,Hosmat Hospital,Military Accounts Office,Commando Hospital,Domlur,Domlur Flyover,Kodihalli,NAL/Manipal Hospital,Murugeshpalya,Konena Agrahara,HAL Main Gate,HAL Admin Gate,Helicopter Division,HAL Kalyana Mantap,Yamalur Cross,Marathahalli,Marathahalli Bridge,Munnekolalu Cross (Spice Garden),Kundalahalli Gate,Thubarahalli,Siddapura,Ramagondanahalli,Varthur kodi,Forum Mall,Brooke Bond,White Field Post Office,Sai Baba General Hospital,Munish Singh Hospital,Coffee Day Hope Farm,Hope Farm,Kadugodi Bridge,Kadugodi Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIA9,Kempegowda Bus Station,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Kogilu Cross,Venkatala,Indian Air Force,Hunasamaranahalli,Bettahalasuru Cross,Chikkajala,Sadahalli Gate,Trumpet (KIA),Cargo Village,DHFL,Kempegowda International Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241D,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Herohalli Cross,Anjananagara,East West College Cross,Bharath Nagara 1st Phase,Manjunatha Nagara,Bharath Nagara 2nd Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242ZD,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,Gollarahatti,Kachohalli Gate,Chikka Gollarahatti,Forest Gate,Machohalli Gate,Kadabagere Cross,Seegehalli Gate,Hamsa Farm,Channenahalli Arch,Channenahalli,Honaganahatti,Channadasipalya,Lakkuppe,Ganesha Temple Tavarekere,Tavarekere,Peddanapalya Cross,Deva Machohalli Cross,Karekal Cross,RINAC Factory Marenahalli,Marenahalli,Cholanayakanahalli,Gangappanahalli,TP Gate Thippagondanahalli,TG Halli Quarters,Shanubhoganahalli,Kallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243F,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Anjananagara,East West College Cross,Bharath Nagara 1st Phase,Gidadakonenahalli Cross,Gidadakonenahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Maruthi Nagara,Mahadeshwara Nagara,Prasanna Layout,Nagaraholenagara Cross,Neelagiri Thopu,Hegganahalli Cross,Hegganahalli,Milk Dairy Hegganahalli,Peenya 2nd Stage,Peenya 14th Cross,Brundavana Peenya,NTTF Peenya,Rolling Mill,TVS Cross Peenya,Systems Peenya,Jalahalli Cross,Peenya Industry Metro Station,SRS Peenya,Peenya Metro Station,CMTI,Goraguntepalya,MEI Factory,RMC Yard (Yeshawanthapura New Railway Station),Govardhan Talkies,Yeshawanthapura Bus Station,Tata Institute,Malleshwara 18th Cross,Malleshwara 13th Cross,Malleshwara 11th Cross,Malleshwara 8th Cross,Malleshwara Circle,Link Road,Central,Kempegowda Bus Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240H,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Herohalli Cross,Anjananagara,East West College Cross,Byadarahalli,College Cross Byadarahalli,G Hosahalli Road Junction,G Hosahalli,Lingadeeranahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241H,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Maruthi Nagara,Mahadeshwara Nagara,Nagarahole Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265B,Kempegowda Bus Station,Okalipura,Minerva Mill,1st Cross Magadi Road,5th Cross Magadi Road,10th Cross Magadi Road,Magadi Road Metro Station,Prasanna Theatre,Magadi Road Tollgate,Agrahara Dasarahalli,KHB Colony,Kamakshipalya,Summanahalli,Kottigepalya,Lakshmi Institution,Sunkadakatte,Janapriya Apartment,Herohalli Cross,Maruthi Nagara,Mahadeshwara Nagara,Prasanna Layout,Nagaraholenagara Cross,Neelagiri Thopu,Hegganahalli Cross,Hegganahalli,Milk Dairy Hegganahalli,Peenya 2nd Stage,Manjushree Garments PSS,Kalikanagara Shiva Temple,Andhrahalli,Andhrahalli Govt School,Anjaneya Temple Thigalarapalya,Garudappa Circle Thigalarapalya,Thigalarapalya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360K,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Jai Bheem Circle (Poornima Theatre),Lalbagh Main Gate,Lalbagh Hopcoms,7th Cross Wilson Garden,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,Hale Chandapura,Tirumagondanahalli,Neraluru Gate,Guddahatti Gate,Guestline Hotel,Yadavanahalli,Attibele Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS3A,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,Hale Chandapura,Tirumagondanahalli,Neraluru Gate,Guddahatti Gate,Guestline Hotel,Yadavanahalli,Attibele Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-360B,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,Hale Chandapura,Tirumagondanahalli,Neraluru Gate,Guddahatti Gate,Guestline Hotel,Yadavanahalli,Attibele Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS3C,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-356,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Electronic City,Veerasandra,Huskur Gate,SFS High School Hebbagodi,Hebbagodi,Bommasandra,BTL College,Hennagara Gate,Chandapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBS3E,Kempegowda Bus Station,Maharani College,KR Circle,St Marthas Hospital,Corporation,Subbaiah Circle,KH Road,Shanthinagara Bus Station,Wilson Garden Police Station,Wilson Garden 12th Cross,Lakkasandra,Nimhans Hospital,Bengaluru Dairy Circle,Muneshwara Devasthana,Hosur Road Junction,St Johns Hospital,Koramangala Water Tank,Kudure Mukha Colony,Krupanidhi College,Madivala,Roopena Agrahara,Bommanahalli,Garvebhavipalya,Kudlu Gate,Singasandra,Hosa Road,Electronic City PESIT College,Konappana Agarhara,Crown Plaza,Infosys Parking Lot,BHEL,Wipro Gate Shikaripalya Cross,Electronic City Wipro Main Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290B,Kempegowda Bus Station,Maharani College,Vidhana Soudha Karnataka High Court,Indian Express,Cunningham Road,Vasantha Nagara,Bamboo Bazaar,Coles Park,Doddy,Canara Bank Tannery Road,Periyar Nagara Circle,Muslim Colony,Postal and Telecom Colony,Venkateshapura,Kadugondanahalli Police Station,Kadugondanahalli Railway Gate,Arebic College,Govindapura Cross,Glass Factory,Nagavara,Nagawara Junction,Nagavara Junction Petrol Bunk,Vidyasagara,Sarayipalya,Ashwath Nagara,Thanisandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291H,Kempegowda Bus Station,Maharani College,Vidhana Soudha Karnataka High Court,Indian Express,Cunningham Road,Vasantha Nagara,Bamboo Bazaar,Coles Park,Doddy,Canara Bank Tannery Road,Periyar Nagara Circle,Muslim Colony,Postal and Telecom Colony,Venkateshapura,Kadugondanahalli Police Station,Kadugondanahalli Railway Gate,Arebic College,Govindapura Cross,Glass Factory,Nagavara,Nagawara Junction,Nagavara Junction Petrol Bunk,Vidyasagara,Sarayipalya,Ashwath Nagara,Thanisandra,Book Factory Thanisandra,K Narayanapura Cross,RK Hegde Nagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300MV,Kempegowda Bus Station,Maharani College,Vidhana Soudha Karnataka High Court,Indian Express,Cunningham Road,Vasantha Nagara,Cantonment Railway Station,Bamboo Bazaar,Coles Park,Seventh Day School (Coles Park),Coles Road,Mosque Road,East Railway Station,ITC Factory,Jai Bharath Nagara,Maruthi Sevanagara,Sir M Vishweshwaraiah Railway Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Kempegowda Bus Station,Maharani College,Vidhana Soudha Karnataka High Court,Indian Express,Shivajinagara Bus Station,Commercial Street,Lavanya Talkies,Sindhi Colony,Cox Town,Pankaj Dairy,Jeevanahalli Water Tank,Jeevanahalli Cross,Jeevanahalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284D,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Yelahanka Police Station,NES Office,Sheshadripuram College,Sharavathi Hotel,Chikka Bommasandra Cross,Yelahanka Satellite Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285M,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Yelahanka Police Station,NES Office,Escorts,Wheel And Axle Plant,Puttenahalli,Ananthapura Gate,C R P F Yelahanka,Nagenahalli Gate,Avalahalli,Singanayakanahalli Gate,Honnenahalli,Rajanukunte,Sri Ramanahalli,Suradenapura Gate,YAPB Toll,Aradeshanahalli Gate,Marasandra Circle,Marasandra Govt School,Hosa Hudya,Jinke Bachahalli Gate,Railway Gate Bashettihalli,Bank Circle Bashettyhalli,Bashettalli,Navodaya School Doddaballapura,Aparel Park,Doddaballapura Railway Station,Mutturu,Siddanayakanahalli,D Cross Doddaballapura,Doddaballapura Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-285M,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Yelahanka Police Station,NES Office,Escorts,Wheel And Axle Plant,Puttenahalli,Ananthapura Gate,C R P F Yelahanka,Nagenahalli Gate,Avalahalli,Singanayakanahalli Gate,Honnenahalli,Rajanukunte,Sri Ramanahalli,Suradenapura Gate,YAPB Toll (Volvo),Aradeshanahalli Gate,Marasandra Circle,Marasandra Govt School,Hosa Hudya,Jinke Bachahalli Gate,Railway Gate Bashettihalli,Bank Circle Bashettyhalli,Bashettalli,Navodaya School Doddaballapura,Aparel Park,Doddaballapura Railway Station,D Cross Doddaballapura,Doddaballapura Bus Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402B,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Yelahanka Police Station,NES Office,Sheshadripuram College,Sharavathi Hotel,Chikka Bommasandra Cross,Yelahanka Satellite Town,Mother Dairy Cross Yelahanka,Yelahanka Bakery,Shrusti School Yelahanka,5th Phase Yelahanka New Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402C,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,CBI,Veterinary Hospital,Canara Bank Hebbala,Hebbala,Military Dairy Farm (Esteem Mall),Kodigehalli Gate,Byatarayanapura,GKVK GATE,Jakkur Aerodrum,Allalasandra Gate,Yelahanka Police Station,NES Office,Sheshadripuram College,Sharavathi Hotel,Chikka Bommasandra Cross,Yelahanka Satellite Town,Mother Dairy Cross Yelahanka,Atturu Layout,Atturu Layout Vegetable Market,Atturu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279E,Kempegowda Bus Station,KPCC Office,Shivananda Store,RM Guttahalli,Palace Ground,Mekhri Circle,Gangenahalli,Ashwathnagara,Geddalahalli,Sanjayanagara,RMS Sanjayanagara,Nagashetty halli,Bhoopasandra Ayyappa Bakery,RMV 2nd Stage,Bhoopasandra,Hebbala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
